epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2757.69,1.34604,1.23309,1.51943,0.7594,0.69839,0.76585,0.46727,1.35214,1.07263,1.54226,0.007129,0.007129,0.007129
31,2842.01,1.35009,1.23629,1.5222,0.7695,0.69841,0.77365,0.47318,1.33942,1.06423,1.52645,0.00703,0.00703,0.00703
32,2926.34,1.34723,1.22702,1.51923,0.77282,0.70266,0.77318,0.47354,1.33513,1.05955,1.52984,0.006931,0.006931,0.006931
33,3011.83,1.33893,1.22184,1.51538,0.77293,0.69938,0.77661,0.47667,1.32936,1.0452,1.52858,0.006832,0.006832,0.006832
34,3096.55,1.33896,1.22146,1.52024,0.78095,0.70489,0.78124,0.47991,1.32783,1.03936,1.51845,0.006733,0.006733,0.006733
35,3181.24,1.32764,1.20973,1.50966,0.77309,0.71046,0.77965,0.47734,1.33912,1.02809,1.53221,0.006634,0.006634,0.006634
36,3265.77,1.33438,1.21334,1.50908,0.78029,0.71116,0.78378,0.48584,1.32094,1.01908,1.51439,0.006535,0.006535,0.006535
37,3350.45,1.33102,1.20219,1.51012,0.77513,0.716,0.7865,0.48551,1.31908,1.01819,1.51497,0.006436,0.006436,0.006436
38,3434.87,1.32517,1.20394,1.50453,0.78289,0.71517,0.79098,0.48733,1.31902,1.01725,1.50846,0.006337,0.006337,0.006337
39,3519.57,1.32836,1.20204,1.50971,0.7829,0.71772,0.78959,0.4952,1.29695,1.00845,1.49498,0.006238,0.006238,0.006238
40,3604.23,1.3293,1.20273,1.502,0.78804,0.72284,0.79761,0.4983,1.29688,0.99933,1.4942,0.006139,0.006139,0.006139
41,3688.99,1.33261,1.20235,1.50269,0.79007,0.7241,0.79853,0.4994,1.29258,0.99684,1.49013,0.00604,0.00604,0.00604
42,3776.1,1.3268,1.19042,1.49746,0.78902,0.72559,0.80022,0.50215,1.30228,0.99255,1.4878,0.005941,0.005941,0.005941
43,3860.5,1.33568,1.19362,1.50248,0.79034,0.72799,0.79759,0.50172,1.28821,0.99108,1.48756,0.005842,0.005842,0.005842
44,3945.17,1.32551,1.1944,1.50065,0.79487,0.73192,0.80471,0.50554,1.27887,0.97207,1.47329,0.005743,0.005743,0.005743
45,4029.63,1.33108,1.19152,1.50352,0.79951,0.72667,0.80711,0.50697,1.27745,0.96907,1.47454,0.005644,0.005644,0.005644
46,4113.7,1.31439,1.16734,1.4882,0.79838,0.73094,0.80871,0.51155,1.27247,0.96643,1.47596,0.005545,0.005545,0.005545
47,4198.94,1.31504,1.16939,1.49396,0.79811,0.73874,0.81291,0.51151,1.27801,0.96954,1.47463,0.005446,0.005446,0.005446
48,4283.5,1.32089,1.17997,1.49307,0.80076,0.7314,0.80742,0.51357,1.2642,0.96488,1.4655,0.005347,0.005347,0.005347
49,4368.08,1.31506,1.174,1.49076,0.79775,0.74129,0.81531,0.51608,1.26584,0.95332,1.4644,0.005248,0.005248,0.005248
50,4452.84,1.30428,1.15889,1.48278,0.80315,0.73879,0.8167,0.52056,1.25734,0.9429,1.45781,0.005149,0.005149,0.005149
51,4537.34,1.30786,1.16155,1.4827,0.80602,0.73966,0.81724,0.52047,1.2562,0.94392,1.46064,0.00505,0.00505,0.00505
52,4621.76,1.30065,1.16428,1.48007,0.81239,0.74096,0.8199,0.52464,1.24999,0.93576,1.45589,0.004951,0.004951,0.004951
53,4706.27,1.3071,1.15252,1.48545,0.8049,0.74539,0.81945,0.52493,1.25026,0.93653,1.45374,0.004852,0.004852,0.004852
54,4790.4,1.3032,1.14608,1.48182,0.81063,0.74947,0.82514,0.52953,1.24085,0.92733,1.44786,0.004753,0.004753,0.004753
55,4874.31,1.29899,1.154,1.48203,0.80822,0.74918,0.82641,0.53361,1.23284,0.92187,1.44136,0.004654,0.004654,0.004654
56,4958.17,1.293,1.13658,1.47474,0.81798,0.74948,0.83069,0.53434,1.23928,0.91029,1.44136,0.004555,0.004555,0.004555
57,5044.85,1.29128,1.13899,1.47477,0.8242,0.74431,0.83066,0.53702,1.2358,0.90891,1.44184,0.004456,0.004456,0.004456
58,5129.5,1.29103,1.13319,1.47107,0.81547,0.75176,0.83143,0.53824,1.22673,0.90707,1.4331,0.004357,0.004357,0.004357
59,5214.04,1.28565,1.1299,1.46873,0.8142,0.75517,0.83397,0.54077,1.22548,0.90361,1.4329,0.004258,0.004258,0.004258
60,5298.66,1.27607,1.11374,1.46347,0.8188,0.75995,0.83605,0.54371,1.22048,0.89091,1.42868,0.004159,0.004159,0.004159
61,5385.23,1.2785,1.12378,1.46223,0.81749,0.76278,0.83652,0.54509,1.21561,0.89315,1.42543,0.00406,0.00406,0.00406
62,5472.44,1.28415,1.12307,1.46445,0.82204,0.76152,0.84053,0.54899,1.21037,0.88227,1.42025,0.003961,0.003961,0.003961
63,5557.38,1.2733,1.109,1.4563,0.82731,0.7634,0.84333,0.55145,1.21068,0.87598,1.41781,0.003862,0.003862,0.003862
64,5642.26,1.271,1.11126,1.45766,0.8233,0.76942,0.84534,0.55278,1.20465,0.87393,1.41532,0.003763,0.003763,0.003763
65,5727.2,1.27238,1.10839,1.4643,0.82492,0.76899,0.84633,0.55498,1.20196,0.87105,1.41361,0.003664,0.003664,0.003664
66,5811.47,1.26561,1.1104,1.45888,0.82966,0.77292,0.84971,0.55788,1.19652,0.86561,1.41179,0.003565,0.003565,0.003565
67,5895.67,1.26194,1.09229,1.44813,0.82997,0.77326,0.85068,0.55849,1.19539,0.85861,1.40928,0.003466,0.003466,0.003466
68,5979.76,1.26844,1.10476,1.45741,0.83432,0.77054,0.85161,0.56202,1.18935,0.85384,1.40493,0.003367,0.003367,0.003367
69,6082.27,1.25583,1.08378,1.44823,0.82839,0.77545,0.84995,0.56125,1.18536,0.8543,1.40064,0.003268,0.003268,0.003268
70,6168.19,1.26503,1.08119,1.44737,0.83256,0.77924,0.85448,0.56638,1.18326,0.84811,1.39887,0.003169,0.003169,0.003169
71,6252.69,1.25953,1.0792,1.44172,0.83438,0.77801,0.85555,0.56675,1.17854,0.84325,1.39365,0.00307,0.00307,0.00307
72,6337.41,1.25511,1.08612,1.44825,0.83609,0.77841,0.85777,0.56926,1.17659,0.83962,1.39053,0.002971,0.002971,0.002971
73,6421.91,1.25542,1.0855,1.44389,0.84024,0.77783,0.85781,0.57151,1.17287,0.83551,1.38931,0.002872,0.002872,0.002872
74,6507.03,1.2504,1.05853,1.43534,0.84071,0.78122,0.85931,0.57412,1.17102,0.83334,1.38746,0.002773,0.002773,0.002773
75,6591.63,1.24787,1.06541,1.43759,0.84398,0.78234,0.86184,0.57458,1.16814,0.82804,1.38558,0.002674,0.002674,0.002674
76,6676.18,1.24153,1.07053,1.44034,0.84044,0.78968,0.86382,0.57594,1.16716,0.82297,1.38449,0.002575,0.002575,0.002575
77,6761.12,1.22936,1.05373,1.42431,0.84643,0.7845,0.86508,0.57781,1.16402,0.81825,1.38121,0.002476,0.002476,0.002476
78,6845.49,1.23804,1.0616,1.4327,0.84059,0.79049,0.86581,0.57907,1.16074,0.81875,1.3781,0.002377,0.002377,0.002377
79,6930.07,1.23414,1.06442,1.43031,0.84845,0.78711,0.86736,0.58021,1.15798,0.81338,1.37636,0.002278,0.002278,0.002278
80,7014.29,1.23781,1.05496,1.42692,0.84717,0.7926,0.86898,0.5833,1.15187,0.80591,1.37223,0.002179,0.002179,0.002179
81,7098.12,1.23534,1.04764,1.42842,0.84796,0.79242,0.86961,0.58413,1.14763,0.80554,1.37025,0.00208,0.00208,0.00208
82,7181.85,1.23038,1.04318,1.42282,0.85333,0.7939,0.87145,0.58525,1.14514,0.80319,1.36888,0.001981,0.001981,0.001981
83,7265.65,1.2213,1.05016,1.42347,0.85423,0.79221,0.87151,0.58671,1.14268,0.80149,1.36674,0.001882,0.001882,0.001882
84,8961.4,1.2279,1.0346,1.42431,0.856,0.79061,0.87195,0.58814,1.14088,0.79775,1.36422,0.001783,0.001783,0.001783
85,9045.83,1.21836,1.03778,1.41932,0.85116,0.79423,0.87302,0.58989,1.1384,0.79549,1.3613,0.001684,0.001684,0.001684
86,9130.29,1.21792,1.02898,1.41988,0.85283,0.79645,0.87443,0.59152,1.13602,0.79169,1.36039,0.001585,0.001585,0.001585
87,9214.74,1.22123,1.02773,1.41991,0.85433,0.79771,0.8751,0.59262,1.13371,0.78859,1.35902,0.001486,0.001486,0.001486
88,9299.68,1.21343,1.02651,1.41476,0.85398,0.79731,0.87568,0.59302,1.13349,0.78649,1.35874,0.001387,0.001387,0.001387
89,9384.53,1.20821,1.01436,1.40851,0.86041,0.7966,0.87742,0.59518,1.13057,0.78377,1.35679,0.001288,0.001288,0.001288
90,9469.09,1.21114,1.02091,1.41001,0.85725,0.79794,0.87735,0.59618,1.12877,0.78213,1.35523,0.001189,0.001189,0.001189
91,9566.54,1.22953,0.91619,1.42669,0.85682,0.79833,0.87816,0.59706,1.12693,0.77869,1.35317,0.00109,0.00109,0.00109
92,9649.76,1.2126,0.88574,1.41547,0.86101,0.79908,0.87974,0.59902,1.12412,0.7722,1.35032,0.000991,0.000991,0.000991
93,9734.32,1.21017,0.87446,1.41411,0.86055,0.8018,0.88154,0.6018,1.12033,0.76698,1.34697,0.000892,0.000892,0.000892
94,9818,1.20171,0.8662,1.40384,0.86398,0.80333,0.88374,0.60451,1.11678,0.76064,1.3434,0.000793,0.000793,0.000793
95,9901.57,1.19984,0.86823,1.40538,0.86418,0.80594,0.88508,0.60623,1.11208,0.75599,1.34002,0.000694,0.000694,0.000694
96,9985.24,1.19423,0.86424,1.40592,0.8668,0.80608,0.88698,0.60866,1.10828,0.75129,1.33771,0.000595,0.000595,0.000595
97,10069.1,1.19148,0.85595,1.39676,0.86588,0.80925,0.88729,0.60997,1.10531,0.7484,1.33564,0.000496,0.000496,0.000496
98,10152.8,1.18249,0.84642,1.39069,0.87011,0.80825,0.8882,0.61116,1.10295,0.7459,1.33382,0.000397,0.000397,0.000397
99,10236.6,1.1756,0.84555,1.38577,0.86689,0.81323,0.88954,0.61256,1.10133,0.7435,1.33234,0.000298,0.000298,0.000298
100,10320.2,1.17585,0.84194,1.38625,0.86728,0.81435,0.88961,0.61344,1.09985,0.74237,1.33093,0.000199,0.000199,0.000199
