epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1707,1.36876,1.29106,1.55944,0.75623,0.65745,0.73886,0.44131,1.39341,1.17005,1.58912,0.00332556,0.00332556,0.00332556
2,175.207,1.37098,1.28852,1.55948,0.70468,0.61037,0.67285,0.38021,1.49886,1.33357,1.67503,0.00659297,0.00659297,0.00659297
3,260.766,1.40074,1.33545,1.5785,0.70523,0.63694,0.695,0.40665,1.43972,1.23998,1.62917,0.00979438,0.00979438,0.00979438
4,347.849,1.42376,1.36343,1.59813,0.68388,0.63109,0.68016,0.38235,1.47246,1.27193,1.64129,0.009703,0.009703,0.009703
5,436.072,1.41611,1.3624,1.58885,0.70865,0.64727,0.70228,0.40871,1.44099,1.22193,1.62241,0.009604,0.009604,0.009604
6,522.945,1.41448,1.35246,1.5801,0.71971,0.64295,0.70283,0.4042,1.45102,1.2301,1.62725,0.009505,0.009505,0.009505
7,609.93,1.41288,1.35471,1.58139,0.69345,0.64349,0.69773,0.40849,1.43797,1.21314,1.61307,0.009406,0.009406,0.009406
8,695.461,1.41018,1.34872,1.57829,0.70066,0.63876,0.6878,0.39229,1.47978,1.27726,1.67158,0.009307,0.009307,0.009307
9,781.137,1.40452,1.3224,1.57057,0.70205,0.64343,0.69626,0.40579,1.43716,1.26449,1.62128,0.009208,0.009208,0.009208
10,866.23,1.40982,1.34634,1.57183,0.71081,0.65986,0.71433,0.41648,1.42339,1.18895,1.60885,0.009109,0.009109,0.009109
11,950.721,1.41641,1.33398,1.57405,0.72919,0.66033,0.72081,0.41694,1.43904,1.18394,1.60986,0.00901,0.00901,0.00901
12,1035.02,1.39472,1.33383,1.56576,0.70013,0.63857,0.69194,0.3973,1.461,1.23045,1.64847,0.008911,0.008911,0.008911
13,1301.3,1.39813,1.31443,1.56011,0.73409,0.65821,0.72469,0.42761,1.41005,1.14796,1.59326,0.008812,0.008812,0.008812
14,1386.02,1.3943,1.32136,1.56034,0.73326,0.65136,0.72248,0.42138,1.42141,1.18498,1.59658,0.008713,0.008713,0.008713
15,1473.73,1.38534,1.30405,1.55298,0.73541,0.65979,0.72725,0.42234,1.4248,1.16784,1.5934,0.008614,0.008614,0.008614
16,1558.7,1.39902,1.31224,1.55977,0.73603,0.67025,0.73002,0.43453,1.40066,1.1476,1.58333,0.008515,0.008515,0.008515
17,1643.55,1.3805,1.28597,1.54804,0.72646,0.66652,0.72572,0.43007,1.40609,1.15917,1.5849,0.008416,0.008416,0.008416
18,1730.8,1.38809,1.28872,1.55321,0.72487,0.66285,0.72575,0.42978,1.4041,1.16025,1.59506,0.008317,0.008317,0.008317
19,1818.66,1.37757,1.28585,1.54954,0.73689,0.6661,0.73418,0.4355,1.40117,1.14127,1.58253,0.008218,0.008218,0.008218
20,1905.58,1.3707,1.28017,1.54724,0.7383,0.6723,0.73523,0.43903,1.39051,1.1338,1.58025,0.008119,0.008119,0.008119
21,1991.45,1.36867,1.27381,1.5417,0.74792,0.679,0.74488,0.44733,1.37671,1.10966,1.57273,0.00802,0.00802,0.00802
22,2076.78,1.37742,1.28201,1.55003,0.74972,0.68021,0.74854,0.44991,1.36759,1.11605,1.55523,0.007921,0.007921,0.007921
23,2161.8,1.3656,1.28017,1.53854,0.75464,0.6813,0.75268,0.44594,1.38169,1.12029,1.55707,0.007822,0.007822,0.007822
24,2246.63,1.36871,1.2605,1.53815,0.7475,0.6873,0.75628,0.4578,1.35847,1.10315,1.5445,0.007723,0.007723,0.007723
25,2332.48,1.36829,1.26232,1.53922,0.75118,0.69208,0.75689,0.45454,1.37249,1.09011,1.55109,0.007624,0.007624,0.007624
26,2418.25,1.36502,1.26145,1.53562,0.74879,0.69113,0.75657,0.45257,1.37445,1.11849,1.54803,0.007525,0.007525,0.007525
27,2503.4,1.36071,1.25153,1.53329,0.75702,0.68227,0.75702,0.45585,1.36662,1.08247,1.56161,0.007426,0.007426,0.007426
28,2588.29,1.3554,1.25147,1.52909,0.75858,0.69473,0.76534,0.46075,1.3604,1.07343,1.54829,0.007327,0.007327,0.007327
29,2672.81,1.35581,1.24274,1.52147,0.75238,0.69754,0.76645,0.46496,1.34656,1.07454,1.53501,0.007228,0.007228,0.007228
