epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8419,1.67557,1.76361,1.84801,0.61084,0.54551,0.57482,0.2951,1.66693,1.56195,1.88311,0.000554371,0.000554371,0.000554371
2,179.145,1.66437,1.75448,1.83941,0.553,0.53057,0.53331,0.26047,1.7094,1.72126,1.91642,0.00108806,0.00108806,0.00108806
3,266.708,1.67673,1.78196,1.84733,0.52929,0.50077,0.49432,0.23902,1.77597,1.83083,1.97681,0.00159974,0.00159974,0.00159974
4,352.141,1.66594,1.76635,1.83081,0.54507,0.53563,0.53573,0.26355,1.69611,1.65901,1.88821,0.00156798,0.00156798,0.00156798
5,437.066,1.64062,1.74698,1.80304,0.57904,0.52424,0.53085,0.26026,1.73118,1.72501,1.94183,0.00153497,0.00153497,0.00153497
6,522.143,1.61896,1.70648,1.78709,0.58774,0.53085,0.54931,0.26981,1.70054,1.67492,1.87277,0.00150197,0.00150197,0.00150197
7,607.703,1.61017,1.68915,1.77208,0.58724,0.55151,0.55646,0.28964,1.66238,1.57552,1.85396,0.00146896,0.00146896,0.00146896
8,693.885,1.59376,1.6621,1.75431,0.61859,0.54394,0.56872,0.287,1.68111,1.57793,1.84789,0.00143595,0.00143595,0.00143595
9,778.995,1.58631,1.63531,1.74206,0.61513,0.55289,0.58038,0.29099,1.67263,1.58887,1.86117,0.00140295,0.00140295,0.00140295
10,863.898,1.56999,1.63928,1.73041,0.61934,0.56354,0.5858,0.30103,1.63849,1.54945,1.81861,0.00136994,0.00136994,0.00136994
11,948.785,1.57115,1.61244,1.72121,0.62719,0.5772,0.60221,0.31,1.62773,1.5023,1.81877,0.00133693,0.00133693,0.00133693
12,1033.86,1.54776,1.59013,1.70972,0.59956,0.57895,0.59755,0.31719,1.5986,1.48643,1.79509,0.00130393,0.00130393,0.00130393
13,1121.22,1.53424,1.56995,1.69304,0.62714,0.58387,0.61617,0.32693,1.57465,1.44876,1.76749,0.00127092,0.00127092,0.00127092
14,1206.08,1.53754,1.57509,1.69399,0.63551,0.57992,0.60993,0.32071,1.59043,1.47369,1.76815,0.00123791,0.00123791,0.00123791
15,1290.87,1.51841,1.53897,1.67938,0.65182,0.58374,0.61939,0.33093,1.57653,1.45455,1.746,0.00120491,0.00120491,0.00120491
16,1375.71,1.5226,1.54159,1.67863,0.67105,0.59163,0.63496,0.3412,1.56394,1.41264,1.74078,0.0011719,0.0011719,0.0011719
17,1460.46,1.50168,1.50648,1.66363,0.65234,0.59798,0.63175,0.34607,1.54863,1.40496,1.72913,0.00113889,0.00113889,0.00113889
18,1545.27,1.50407,1.50986,1.66408,0.66087,0.59335,0.63179,0.34415,1.54766,1.40571,1.73351,0.00110589,0.00110589,0.00110589
19,1631.05,1.49431,1.4952,1.65687,0.66465,0.60935,0.64911,0.35234,1.54883,1.37792,1.71958,0.00107288,0.00107288,0.00107288
20,1715.82,1.48255,1.47703,1.65101,0.6745,0.60528,0.65295,0.35989,1.53705,1.33926,1.70688,0.00103987,0.00103987,0.00103987
21,1800.6,1.48137,1.46827,1.63999,0.68097,0.61137,0.66163,0.36398,1.50818,1.34387,1.69077,0.00100687,0.00100687,0.00100687
22,1885.31,1.47807,1.47212,1.64515,0.68156,0.61917,0.66095,0.36997,1.49526,1.32939,1.67099,0.000973861,0.000973861,0.000973861
23,1970.32,1.46675,1.46387,1.63354,0.67944,0.61062,0.66283,0.36631,1.50036,1.34502,1.6668,0.000940855,0.000940855,0.000940855
24,2057.43,1.46113,1.43453,1.6263,0.67906,0.62243,0.6666,0.37506,1.48633,1.33268,1.67011,0.000907848,0.000907848,0.000907848
25,2142.25,1.46024,1.43369,1.62806,0.67735,0.62473,0.66894,0.37426,1.49352,1.30386,1.67388,0.000874842,0.000874842,0.000874842
26,2226.99,1.45389,1.41709,1.62,0.69597,0.6362,0.68685,0.39022,1.46724,1.28082,1.65048,0.000841835,0.000841835,0.000841835
27,2311.74,1.43981,1.40744,1.61365,0.69951,0.64003,0.69537,0.3968,1.46564,1.24809,1.65976,0.000808828,0.000808828,0.000808828
28,2396.08,1.43764,1.40277,1.61079,0.70817,0.64633,0.70054,0.39506,1.46508,1.24983,1.64587,0.000775822,0.000775822,0.000775822
29,2480.02,1.43579,1.38979,1.59837,0.69228,0.64155,0.69303,0.39807,1.43707,1.25504,1.62436,0.000742815,0.000742815,0.000742815
30,2566.17,1.42231,1.37524,1.59313,0.71432,0.64997,0.70551,0.40436,1.45482,1.22576,1.63245,0.000709809,0.000709809,0.000709809
31,2651.78,1.42136,1.37398,1.59216,0.70486,0.65424,0.71011,0.40698,1.44765,1.23915,1.62506,0.000676802,0.000676802,0.000676802
32,2736.64,1.41489,1.3596,1.58791,0.72089,0.65547,0.71564,0.41637,1.42038,1.21531,1.60904,0.000643795,0.000643795,0.000643795
33,2825.15,1.40761,1.34854,1.58553,0.72039,0.65046,0.71139,0.41576,1.41845,1.20669,1.61233,0.000610789,0.000610789,0.000610789
34,2911.29,1.39928,1.33777,1.58143,0.73222,0.65848,0.72328,0.42062,1.41499,1.18456,1.60556,0.000577782,0.000577782,0.000577782
35,2997.23,1.38379,1.31867,1.56822,0.72238,0.66421,0.72461,0.42318,1.41701,1.17159,1.60459,0.000544776,0.000544776,0.000544776
36,3083.49,1.39081,1.31357,1.56641,0.73061,0.67093,0.72993,0.43175,1.40417,1.1567,1.59501,0.000511769,0.000511769,0.000511769
37,3168.77,1.38612,1.30524,1.56549,0.73648,0.67572,0.73677,0.43613,1.38798,1.14942,1.57918,0.000478762,0.000478762,0.000478762
38,3254.74,1.37567,1.30887,1.55867,0.73296,0.67754,0.73908,0.439,1.38249,1.14065,1.57366,0.000445756,0.000445756,0.000445756
39,3341.27,1.37438,1.294,1.55688,0.74208,0.67682,0.74064,0.44464,1.36935,1.12859,1.56712,0.000412749,0.000412749,0.000412749
40,3426.14,1.36501,1.2965,1.54968,0.74758,0.68022,0.74587,0.44692,1.36823,1.12103,1.56124,0.000379743,0.000379743,0.000379743
41,3528.77,1.4292,1.22491,1.60115,0.74507,0.68497,0.75006,0.45457,1.36009,1.09867,1.55533,0.000346736,0.000346736,0.000346736
42,3613.02,1.41846,1.19976,1.59441,0.75767,0.68889,0.75932,0.46063,1.34834,1.09138,1.54411,0.000313729,0.000313729,0.000313729
43,3697.13,1.40812,1.1761,1.58485,0.75658,0.6957,0.76323,0.46629,1.33613,1.07648,1.53781,0.000280723,0.000280723,0.000280723
44,3782.21,1.39757,1.15967,1.58278,0.77344,0.69367,0.768,0.47284,1.32215,1.05234,1.53044,0.000247716,0.000247716,0.000247716
45,3866.1,1.38635,1.14927,1.5678,0.77026,0.70125,0.7738,0.4788,1.31423,1.04386,1.51989,0.00021471,0.00021471,0.00021471
46,3950.03,1.37491,1.13311,1.56061,0.77805,0.70093,0.77873,0.4825,1.30961,1.03253,1.51488,0.000181703,0.000181703,0.000181703
47,4034.57,1.37423,1.13101,1.56085,0.78033,0.70202,0.78037,0.4851,1.30367,1.02993,1.51152,0.000148696,0.000148696,0.000148696
48,4118.72,1.36643,1.11748,1.55556,0.77656,0.70756,0.78203,0.4862,1.29465,1.0263,1.50688,0.00011569,0.00011569,0.00011569
49,4202.66,1.3497,1.11262,1.54485,0.78569,0.7046,0.7841,0.49052,1.29338,1.0194,1.50521,8.26832e-05,8.26832e-05,8.26832e-05
50,4286.53,1.34691,1.1022,1.54399,0.78055,0.71019,0.78551,0.49326,1.2879,1.01145,1.49937,4.96766e-05,4.96766e-05,4.96766e-05
