epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.785,1.74528,1.77709,1.94416,0.5677,0.48019,0.49181,0.23505,1.76799,1.80664,1.97994,0.000554371,0.000554371,0.000554371
2,191.597,1.8068,1.86511,1.99248,0.49014,0.47304,0.45443,0.21897,1.78118,1.84868,1.99891,0.00100014,0.00100014,0.00100014
3,277.536,1.81219,1.86837,2.00272,0.48976,0.44651,0.44068,0.18452,1.88653,1.91135,2.06507,0.0013359,0.0013359,0.0013359
4,362.164,1.79618,1.83805,1.98224,0.52764,0.48371,0.49092,0.23503,1.78036,1.78434,1.97292,0.0011719,0.0011719,0.0011719
5,446.668,1.75503,1.78266,1.93296,0.55653,0.5153,0.52267,0.25704,1.73342,1.72216,1.93009,0.00100687,0.00100687,0.00100687
6,532.12,1.71959,1.71955,1.90219,0.59682,0.53779,0.55465,0.28061,1.69575,1.63176,1.89085,0.000841835,0.000841835,0.000841835
7,616.895,1.69304,1.66708,1.88116,0.58876,0.55555,0.57922,0.28933,1.67306,1.59882,1.87701,0.000676802,0.000676802,0.000676802
8,700.898,1.65347,1.61789,1.84106,0.62564,0.54249,0.57721,0.3048,1.63837,1.54922,1.8527,0.000511769,0.000511769,0.000511769
9,787.039,1.62532,1.56786,1.81515,0.65298,0.58223,0.62268,0.33621,1.57075,1.47536,1.78531,0.000346736,0.000346736,0.000346736
10,872.913,1.59978,1.52597,1.7942,0.64744,0.5914,0.63084,0.34536,1.54331,1.43501,1.76069,0.000181703,0.000181703,0.000181703
